,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
10,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"Jul 18, 22:48 UTC (2 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-21
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (10 days ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 75 days)",,IN-ORDER,-,-,-,2025-07-21
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-21
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 16, 13:47 UTC (5 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-21
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-21
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-21
16,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jun 23, 01:41 UTC (28 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-21
17,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-21
18,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (27 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,-,2025-07-21
19,NISR 2,/vessels/details/7600641,-,1977,1243,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-21
20,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-21
21,TAAWON 14,/vessels/details/8316742,-,1984,643,975,60,10,,-,-,-,-,-,-,-,-,-,2025-07-21
22,ALEX STAR,/vessels/details/8999582,-,1999,311,297,37,8,,-,-,-,-,-,-,-,-,-,2025-07-21
23,KONSAB EL ARISH,/vessels/details/622104576,Tanker,-,-,-,36,7,,"May 2, 17:45 UTC (79 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-21
24,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-21
25,AL BURULLUS,/vessels/details/7631030,-,1983,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-21
26,ALEXIA 3,/vessels/details/622120925,Tanker,-,-,-,248,43,,"Jul 20, 00:28 UTC (1 day ago)",Egypt,As Suways (Suez) Anch.,"Jul 20, 01:00",,RAS SADAT_EG,-,-,At anchor,2025-07-21
27,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-21
28,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (25 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-21
29,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-21
30,AL SADAT,/vessels/details/7728209,-,1979,170,300,37,8,,-,-,-,-,-,-,-,-,-,2025-07-21
31,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-21
32,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-21
33,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-21
34,AL NIL,/vessels/details/7630971,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-21
35,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-21
36,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-21
37,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-21
38,UNISHIP I,/vessels/details/5419103,-,1963,217,284,35,8,,-,-,-,-,-,-,-,-,-,2025-07-21
39,ALOBOUR,/vessels/details/7728182,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-21
40,TAAWON 14,/vessels/details/8316742,-,1984,643,975,60,10,,-,-,-,-,-,-,-,-,-,2025-07-21
41,AL SADAT,/vessels/details/7728209,-,1979,170,300,37,8,,-,-,-,-,-,-,-,-,-,2025-07-21
42,TANKER NO. 230,/vessels/details/7944748,-,1978,300,491,43,8,,-,-,-,-,-,-,-,-,-,2025-07-21
43,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-21
44,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (25 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-21
45,MARYUT,/vessels/details/7630957,-,1976,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-21
46,CIDCO OIL,/vessels/details/9769582,-,2014,434,1000,46,9,,-,-,-,-,-,-,-,-,-,2025-07-21
47,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-21
48,KONSAB EL ARISH,/vessels/details/622104576,Tanker,-,-,-,36,7,,"May 2, 17:45 UTC (79 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-21
49,HEFILA,/vessels/details/8659053,-,2012,192,370,33,6,,-,-,-,-,-,-,-,-,-,2025-07-21
50,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-21
51,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-21
52,SUEZ 1,/vessels/details/9036492,-,1994,200,120,33,7,,-,-,-,-,-,-,-,-,-,2025-07-21
53,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-21
54,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-21
55,OSIRIS,/vessels/details/7728223,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-21
56,AKDU,/vessels/details/7631028,-,1979,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-21
57,AL FURAT,/vessels/details/7630983,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-21
58,TANKER NO. 11,/vessels/details/8215388,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-21
59,NADA 2,/vessels/details/7720386,-,1978,1003,1345,65,10,,-,-,-,-,-,-,-,-,-,2025-07-21
60,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-21
61,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-21
62,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-21
63,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-21
64,EL ARESH,/vessels/details/7728194,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-21
65,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-21
66,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-21
67,TAAWON 3,/vessels/details/5348093,-,1960,392,500,53,8,,-,-,-,-,-,-,-,-,-,2025-07-21
68,TIMSAH 3,/vessels/details/7928316,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-21
69,WADI ALMOLOUK,/vessels/details/9897999,Cargo ship,2020,44732,82318,229,32,,"Jul 10, 14:52 UTC (11 days ago)",Taiwan,Taichung,"Jul 21, 21:00
(in 18 hours)",Australia,Kwinana,32.1946S, 115.7255E,-,2025-07-21
70,WADI ALARISH,/vessels/details/9952672,Cargo ship,2024,44560,82234,229,32,,"Jun 25, 21:13 UTC (25 days ago)",United Arab Emirates (UAE),Al Fujayrah Anch.,"Jul 23, 13:00
(in 2 days)",Uruguay,Nueva Palmira,33.8791S, 58.4269W,-,2025-07-21
71,WADI ALMALEKAT,/vessels/details/9763904,Cargo ship,2017,44069,81227,229,32,,"Jul 18, 07:19 UTC (3 days ago)",Singapore,Singapore Anch. 5,"Aug 20, 02:00
(in 30 days)",Singapore,Singapore,1.2788N, 103.7566E,-,2025-07-21
72,WADI ALKARM,/vessels/details/9460760,-,2011,43736,80533,229,32,,-,-,-,-,-,-,-,-,-,2025-07-21
73,WADI TIBA,/vessels/details/9460746,Cargo ship,2011,43736,80469,229,32,,"Jul 11, 07:39 UTC (10 days ago)",Gibraltar,Gibraltar West Anch.,"Jul 22, 10:00
(in 1 day)",,BARCARENA - BRAZIL,-,-,-,2025-07-21
74,WADI SAFAGA,/vessels/details/9460734,Cargo ship,2010,43736,80443,229,32,,"Jul 20, 16:30 UTC (10 hours ago)",Russia,Novorossiysk Anch.,-,,Destination not available,-,-,Moored,2025-07-21
75,WADI ALYARMOUK,/vessels/details/9460772,Cargo ship,2010,43726,80384,229,32,,"Jul 9, 04:22 UTC (12 days ago)",Italy,Ravenna Anch.,"Jul 9, 05:17 UTC
ARRIVED",Italy,Ravenna,44.4777N, 12.2604E,Moored,2025-07-21
76,EDFU,/vessels/details/9139256,Cargo ship,1997,38464,71572,224,32,,"Jul 18, 22:47 UTC (2 days ago)",Turkey,Nemrut Anch.,"Jul 18, 23:08 UTC
ARRIVED",Turkey,Nemrut,38.7768N, 26.909E,Moored,2025-07-21
77,ESNA,/vessels/details/9139268,-,1998,38464,71598,224,32,,-,-,-,-,-,-,-,-,-,2025-07-21
78,WADI AL KARNAK,/vessels/details/9127136,Cargo ship,1997,37028,70090,225,32,,"Jul 3, 19:17 UTC (17 days ago)",France,La Pallice,"Jul 14, 20:26 UTC
ARRIVED",Egypt,Port Said,31.2644N, 32.3346E,Moored,2025-07-21
79,WADI ALARAB,/vessels/details/9107681,Cargo ship,1995,37027,64214,225,32,,"Jul 10, 14:44 UTC (11 days ago)",France,La Pallice,"Jul 21, 15:00
(in 12 hours)",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Under way,2025-07-21
80,WADI ALRAYAN,/vessels/details/9208875,Cargo ship,2000,34750,40301,215,32,,"Jul 20, 06:16 UTC (21 hours ago)",United Arab Emirates (UAE),Khalifa,"Jul 20, 10:50 UTC
ARRIVED",United Arab Emirates (UAE),Jebel Ali,25.0247N, 55.0397E,Moored,2025-07-21
81,WADI FERAN,/vessels/details/9460083,Cargo ship,2011,33234,57282,190,32,,"Jul 16, 07:58 UTC (5 days ago)",Bangladesh,Chattogram Anch.,"Jul 16, 23:00",Bangladesh,Mongla,22.4998N, 89.5883E,-,2025-07-21
82,WADI ALBOSTAN,/vessels/details/9460722,Cargo ship,2011,33234,57320,190,32,,"Jul 5, 19:09 UTC (15 days ago)",Singapore,Singapore Anch. 4,"Jul 16, 00:00",India,Hazira,21.0666N, 72.6159E,-,2025-07-21
83,SAFEEN PRESTIGE,/vessels/details/9593517,Cargo ship,2013,18252,23425,175,27,,"Jul 20, 06:56 UTC (20 hours ago)",Egypt,Dumyat (Damietta),"Jul 23, 08:00
(in 2 days)",Libya,Misurata,32.367N, 15.2328E,Under way,2025-07-21
84,CAPT.KATTELMANN,/vessels/details/9330915,Cargo ship,2006,15995,20305,170,25,,"Jul 18, 20:28 UTC (2 days ago)",Turkey,Korfez,"Jul 24, 08:00
(in 3 days)",Spain,Valencia,39.4258N, 0.295W,Under way,2025-07-21
85,EGY CROWN,/vessels/details/9216107,Cargo ship,2000,14241,18425,159,24,,"Jul 7, 11:05 UTC (14 days ago)",Bulgaria,Varna,"Jul 7, 11:20 UTC
ARRIVED",Bulgaria,Varna,43.1902N, 27.939E,Moored,2025-07-21
86,EGY FUTURE,/vessels/details/9127538,Cargo ship,1998,13977,18425,159,24,,"Mar 7, 01:56 UTC (136 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-21
87,AL HURREYA,/vessels/details/9266487,Cargo ship,2005,13529,5904,140,24,,"Jul 8, 08:38 UTC (13 days ago)",Egypt,Safaga,"Jul 7, 13:00",,SUEZ-SAFAGA,-,-,-,2025-07-21
88,AL HURREYA 2,/vessels/details/9309136,Cargo ship,2007,13529,5904,140,24,,"Jul 20, 01:46 UTC (1 day ago)",Saudi Arabia,Duuba,"Jul 20, 11:39 UTC
ARRIVED",Egypt,Safaga,26.7429N, 33.9501E,Moored,2025-07-21
89,ELREEDY STAR,/vessels/details/9161182,Cargo ship,1998,13066,20537,153,24,,"Jul 13, 15:22 UTC (7 days ago)",Djibouti,Djibouti,"Jul 23, 19:30
(in 3 days)",Oman,Salalah,16.9565N, 54.0234E,-,2025-07-21
90,EGY SKY,/vessels/details/9366483,Cargo ship (HAZ-A),2007,10308,12720,149,23,,"Jul 21, 00:21 UTC (3 hours ago)",Egypt,Dumyat (Damietta) Anch.,"Jul 21, 03:20
(in 23 minutes)",,EGPSE,-,-,At anchor,2025-07-21
91,PAN GG,/vessels/details/9236286,Cargo ship,2002,10308,12562,149,23,,"Jul 20, 10:09 UTC (17 hours ago)",Egypt,Port Said East,"Jul 20, 15:24 UTC
ARRIVED",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Moored,2025-07-21
92,LOTUS,/vessels/details/9193525,Cargo ship,1999,8443,9389,136,20,,"Jul 18, 08:44 UTC (3 days ago)",Egypt,Alexandria,"Jul 19, 12:45 UTC
ARRIVED",Lebanon,Tripoli Anch.,34.4681N, 35.8502E,Moored,2025-07-21
93,BRIDGE,/vessels/details/8708622,Cargo ship,1989,7363,4683,122,20,,"Jul 14, 04:01 UTC (7 days ago)",Saudi Arabia,Jeddah Anchorage,"Jul 8, 09:45",,JEDDAH<>SAWAKIN,-,-,-,2025-07-21
94,AL SHAYMAA,/vessels/details/7612400,-,1981,5744,8207,128,18,,-,-,-,-,-,-,-,-,-,2025-07-21
95,MERSA ALAM,/vessels/details/9055175,-,2000,4414,6016,101,18,,-,-,-,-,-,-,-,-,-,2025-07-21
96,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-21
97,SAKKR 2,/vessels/details/7910606,-,1981,100,20,24,5,,-,-,-,-,-,-,-,-,-,2025-07-21
98,ZAHER,/vessels/details/622122260,-,-,-,-,15,27,,-,-,-,-,-,-,-,-,-,2025-07-21
99,SHUNLI096,/vessels/details/622442056,-,-,-,-,70,10,,-,-,-,-,-,-,-,-,-,2025-07-21
100,HAI BAO,/vessels/details/622666018,-,-,-,-,180,32,,-,-,-,-,-,-,-,-,-,2025-07-21
101,SHOROK 2,/vessels/details/9593593,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-21
102,EL AABED,/vessels/details/7325643,-,1973,1981,3068,80,14,,-,-,-,-,-,-,-,-,-,2025-07-21
103,SUEZ FLOWER,/vessels/details/7012507,-,1970,1179,1727,73,12,,-,-,-,-,-,-,-,-,-,2025-07-21
104,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-21
105,MV ROYAL,/vessels/details/622121120,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-21
106,ELMALEK KHALED,/vessels/details/7010171,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-21
107,RAS EL KHAIMA,/vessels/details/7023958,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-21
108,SHOROK 3,/vessels/details/9593608,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-21
109,HAI BAO,/vessels/details/622666018,-,-,-,-,180,32,,-,-,-,-,-,-,-,-,-,2025-07-21
110,SHOROK 4,/vessels/details/9593610,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-21
