,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,/vessels/details/9291248,Tanker,2006,60007,107160,248,43,,"Jul 19, 23:49 UTC (1 day ago)",Egypt,Ain Sukhna Anch.,"Jul 20, 01:03 UTC
ARRIVED",Egypt,Ain Sukhna Oil Field Term.,29.5799N, 32.3886E,-,2025-07-21
1,ETC RAMSIS,/vessels/details/9260809,Tanker,2003,59574,110673,246,42,,"Jul 20, 01:20 UTC (1 day ago)",Egypt,As Suways (Suez) Anch.,"Jul 20, 04:00",,RAS SADAT,-,-,Under way,2025-07-21
2,ALEXIA 3,/vessels/details/9173721,-,1999,56841,105570,248,43,,-,-,-,-,-,-,-,-,-,2025-07-21
3,CHRIS,/vessels/details/9304643,Tanker (HAZ-B),2004,49838,105778,239,42,,"Jul 17, 18:07 UTC (3 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 21, 15:00
(in 12 hours)",,RAS GHARIB/EGYY,-,-,At anchor,2025-07-21
4,AL NABILA 6,/vessels/details/9236987,Tanker (HAZ-A),2003,22184,34810,171,27,,"Jul 21, 02:22 UTC (34 minutes ago)",Egypt,Port Said Anch.,"Jul 21, 16:00
(in 13 hours)",Egypt,Ain Sukhna Oil Field Term.,29.5799N, 32.3886E,Under way,2025-07-21
5,NAGDA1,/vessels/details/8215364,Other type,1984,2042,3220,87,16,,"Mar 2, 12:01 UTC (141 days ago)",Egypt,Ismailia Anch.,-,,Destination not available,-,-,-,2025-07-21
6,NAGDA 2,/vessels/details/8215376,-,1984,2042,3220,88,16,,-,-,-,-,-,-,-,-,-,2025-07-21
7,CPC VI,/vessels/details/9758181,Tanker,2015,1581,2397,74,12,,"Jul 12, 10:14 UTC (9 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-21
8,CPC IV,/vessels/details/9919606,Tanker,2021,1129,1681,67,12,,"Jul 2, 09:56 UTC (19 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-21
9,CPC I,/vessels/details/9620267,Tanker,2012,1049,1601,66,12,,"Jul 14, 15:53 UTC (6 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-21
