,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
10,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"Jul 18, 22:48 UTC (21 hours ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-19
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (8 days ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 76 days)",,IN-ORDER,-,-,Moored,2025-07-19
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-19
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 16, 13:47 UTC (3 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-19
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-19
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-19
16,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jun 23, 01:41 UTC (27 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-19
17,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (26 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-19
18,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-19
19,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
20,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
21,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-19
22,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-19
23,AL BURULLUS,/vessels/details/7631030,-,1983,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-19
24,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-19
25,TAAWON 3,/vessels/details/5348093,-,1960,392,500,53,8,,-,-,-,-,-,-,-,-,-,2025-07-19
26,CPCV,/vessels/details/9933949,Tanker,2022,1129,1678,66,11,,"Jul 18, 15:09 UTC (1 day ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Moored,2025-07-19
27,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (24 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-19
28,SOHEIR,/vessels/details/6522000,-,1965,905,1583,69,10,,-,-,-,-,-,-,-,-,-,2025-07-19
29,MARYUT,/vessels/details/7630957,-,1976,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-19
30,BADR,/vessels/details/7928330,-,1984,260,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
31,OSIRIS,/vessels/details/7728223,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-19
32,TIMSAH 3,/vessels/details/7928316,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
33,TAAWON 15,/vessels/details/8611934,-,1990,148,120,33,6,,-,-,-,-,-,-,-,-,-,2025-07-19
34,AL FURAT,/vessels/details/7630983,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-19
35,UNISHIP I,/vessels/details/5419103,-,1963,217,284,35,8,,-,-,-,-,-,-,-,-,-,2025-07-19
36,CIDCO OIL,/vessels/details/9769582,-,2014,434,1000,46,9,,-,-,-,-,-,-,-,-,-,2025-07-19
37,MISR 3,/vessels/details/9871684,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-19
38,TANKER NO. 10,/vessels/details/8219700,-,1984,207,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-19
39,HEFILA,/vessels/details/8659053,-,2012,192,370,33,6,,-,-,-,-,-,-,-,-,-,2025-07-19
40,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-19
41,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-19
42,TAAWON 14,/vessels/details/8316742,-,1984,643,975,60,10,,-,-,-,-,-,-,-,-,-,2025-07-19
43,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-19
44,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
45,SUEZ 1,/vessels/details/9036492,-,1994,200,120,33,7,,-,-,-,-,-,-,-,-,-,2025-07-19
46,EL ARESH,/vessels/details/7728194,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-19
47,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-19
48,ALEXIA 3,/vessels/details/622120925,Tanker,-,-,-,248,43,,"Jul 16, 20:07 UTC (3 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 20, 01:00
(in 5 hours)",,RAS SADAT_EG,-,-,Under way,2025-07-19
49,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-19
50,AL SADAT,/vessels/details/7728209,-,1979,170,300,37,8,,-,-,-,-,-,-,-,-,-,2025-07-19
51,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-19
52,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-19
53,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-19
54,ALEX STAR,/vessels/details/8999582,-,1999,311,297,37,8,,-,-,-,-,-,-,-,-,-,2025-07-19
55,KONSAB EL ARISH,/vessels/details/622104576,Tanker,-,-,-,36,7,,"May 2, 17:45 UTC (78 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-19
56,TANKER NO. 230,/vessels/details/7944748,-,1978,300,491,43,8,,-,-,-,-,-,-,-,-,-,2025-07-19
57,TANKER NO. 13,/vessels/details/8215405,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-19
58,NISR 2,/vessels/details/7600641,-,1977,1243,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-19
59,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-19
60,SEA STAR PORT SAID,/vessels/details/622108203,-,-,-,-,19,6,,-,-,-,-,-,-,-,-,-,2025-07-19
61,AYEDA 3,/vessels/details/7630969,-,1977,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-19
62,AL SALAM,/vessels/details/7728170,-,1978,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-19
63,ALOBOUR,/vessels/details/7728182,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-19
64,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (10 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,Under way,2025-07-19
65,AKDU,/vessels/details/7631028,-,1979,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-19
66,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-19
67,AL NIL,/vessels/details/7630971,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-19
68,TANKER NO. 11,/vessels/details/8215388,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-19
69,WADI ALMOLOUK,/vessels/details/9897999,Cargo ship,2020,44732,82318,229,32,,"Jul 10, 14:52 UTC (9 days ago)",Taiwan,Taichung,"Jul 21, 21:00
(in 2 days)",Australia,Kwinana,32.1946S, 115.7255E,-,2025-07-19
70,WADI ALARISH,/vessels/details/9952672,Cargo ship,2024,44560,82234,229,32,,"Jun 25, 21:13 UTC (24 days ago)",United Arab Emirates (UAE),Al Fujayrah Anch.,"Jul 23, 18:00
(in 4 days)",Uruguay,Nueva Palmira,33.8791S, 58.4269W,-,2025-07-19
71,WADI ALMALEKAT,/vessels/details/9763904,Cargo ship,2017,44069,81227,229,32,,"Jul 18, 07:19 UTC (2 days ago)",Singapore,Singapore Anch. 5,"Aug 20, 02:00
(in 31 days)",Singapore,Singapore,1.2788N, 103.7566E,Under way,2025-07-19
72,WADI TIBA,/vessels/details/9460746,Cargo ship,2011,43736,80469,229,32,,"Jul 11, 07:39 UTC (9 days ago)",Gibraltar,Gibraltar West Anch.,"Jul 22, 10:00
(in 3 days)",,BARCARENA - BRAZIL,-,-,-,2025-07-19
73,WADI SAFAGA,/vessels/details/9460734,Cargo ship,2010,43736,80443,229,32,,"Jul 18, 08:58 UTC (1 day ago)",Russia,Novorossiysk Anch.,"Jul 18, 10:55 UTC
ARRIVED",Russia,Novorossiysk Anch.,44.6964N, 37.8242E,At anchor,2025-07-19
74,WADI ALKARM,/vessels/details/9460760,-,2011,43736,80533,229,32,,-,-,-,-,-,-,-,-,-,2025-07-19
75,WADI ALYARMOUK,/vessels/details/9460772,Cargo ship,2010,43726,80384,229,32,,"Jul 9, 04:22 UTC (11 days ago)",Italy,Ravenna Anch.,"Jul 9, 05:17 UTC
ARRIVED",Italy,Ravenna,44.4777N, 12.2604E,Moored,2025-07-19
76,EDFU,/vessels/details/9139256,Cargo ship,1997,38464,71572,224,32,,"Jul 18, 22:47 UTC (21 hours ago)",Turkey,Nemrut Anch.,"Jul 18, 23:08 UTC
ARRIVED",Turkey,Nemrut,38.7768N, 26.909E,Moored,2025-07-19
77,ESNA,/vessels/details/9139268,-,1998,38464,71598,224,32,,-,-,-,-,-,-,-,-,-,2025-07-19
78,WADI AL KARNAK,/vessels/details/9127136,Cargo ship,1997,37028,70090,225,32,,"Jul 3, 19:17 UTC (16 days ago)",France,La Pallice,"Jul 14, 20:26 UTC
ARRIVED",Egypt,Port Said,31.2644N, 32.3346E,Moored,2025-07-19
79,WADI ALARAB,/vessels/details/9107681,Cargo ship,1995,37027,64214,225,32,,"Jul 10, 14:44 UTC (9 days ago)",France,La Pallice,"Jul 21, 15:00
(in 2 days)",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Under way,2025-07-19
80,WADI ALRAYAN,/vessels/details/9208875,Cargo ship,2000,34750,40301,215,32,,"Jul 18, 21:22 UTC (22 hours ago)",United Arab Emirates (UAE),Mina Khalifa/Abu Dhabi Anch.,"Jul 18, 23:23 UTC
ARRIVED",United Arab Emirates (UAE),Khalifa,24.8324N, 54.644E,Moored,2025-07-19
81,WADI FERAN,/vessels/details/9460083,Cargo ship,2011,33234,57282,190,32,,"Jul 16, 07:58 UTC (3 days ago)",Bangladesh,Chattogram Anch.,"Jul 16, 23:00",Bangladesh,Mongla,22.4998N, 89.5883E,-,2025-07-19
82,WADI ALBOSTAN,/vessels/details/9460722,Cargo ship,2011,33234,57320,190,32,,"Jul 5, 19:09 UTC (14 days ago)",Singapore,Singapore Anch. 4,"Jul 16, 00:00",India,Hazira,21.0666N, 72.6159E,-,2025-07-19
83,SAFEEN PRESTIGE,/vessels/details/9593517,Cargo ship,2013,18252,23425,175,27,,"Jul 19, 15:51 UTC (4 hours ago)",Egypt,Port Said East,"Jul 19, 20:30
(in 46 minutes)",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Under way,2025-07-19
84,CAPT.KATTELMANN,/vessels/details/9330915,Cargo ship,2006,15995,20305,170,25,,"Jul 18, 20:28 UTC (23 hours ago)",Turkey,Korfez,"Jul 24, 08:00
(in 5 days)",Spain,Valencia,39.4258N, 0.295W,Under way,2025-07-19
85,EGY CROWN,/vessels/details/9216107,Cargo ship,2000,14241,18425,159,24,,"Jul 7, 11:05 UTC (12 days ago)",Bulgaria,Varna,"Jul 7, 11:20 UTC
ARRIVED",Bulgaria,Varna,43.1902N, 27.939E,Moored,2025-07-19
86,EGY FUTURE,/vessels/details/9127538,Cargo ship,1998,13977,18425,159,24,,"Mar 7, 01:56 UTC (135 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-19
87,AL HURREYA,/vessels/details/9266487,Cargo ship,2005,13529,5904,140,24,,"Jul 8, 08:38 UTC (11 days ago)",Egypt,Safaga,"Jul 7, 13:00",,SUEZ-SAFAGA,-,-,Moored,2025-07-19
88,AL HURREYA 2,/vessels/details/9309136,Cargo ship,2007,13529,5904,140,24,,"Jul 19, 14:50 UTC (5 hours ago)",Saudi Arabia,Duuba,"Jul 19, 20:32
(in 48 minutes)",,NEOM,-,-,Moored,2025-07-19
89,ELREEDY STAR,/vessels/details/9161182,Cargo ship,1998,13066,20537,153,24,,"Jul 13, 15:22 UTC (6 days ago)",Djibouti,Djibouti,"Jul 14, 09:00",Yemen,Aden,12.7735N, 44.9496E,-,2025-07-19
90,PAN GG,/vessels/details/9236286,Cargo ship,2002,10308,12562,149,23,,"Jul 19, 14:52 UTC (5 hours ago)",Egypt,Port Said East,-,,Destination not available,-,-,Moored,2025-07-19
91,EGY SKY,/vessels/details/9366483,Cargo ship (HAZ-A),2007,10308,12720,149,23,,"Jul 19, 18:47 UTC (56 minutes ago)",Egypt,Port Said Anch.,"Jul 19, 15:30",,EGPSE,-,-,Under way,2025-07-19
92,LOTUS,/vessels/details/9193525,Cargo ship,1999,8443,9389,136,20,,"Jul 18, 08:44 UTC (1 day ago)",Egypt,Alexandria,"Jul 19, 12:45 UTC
ARRIVED",Lebanon,Tripoli Anch.,34.4681N, 35.8502E,Moored,2025-07-19
93,BRIDGE,/vessels/details/8708622,Cargo ship,1989,7363,4683,122,20,,"Jul 14, 04:01 UTC (6 days ago)",Saudi Arabia,Jeddah Anchorage,"Jul 8, 09:45",,JEDDAH<>SAWAKIN,-,-,-,2025-07-19
94,AL SHAYMAA,/vessels/details/7612400,-,1981,5744,8207,128,18,,-,-,-,-,-,-,-,-,-,2025-07-19
95,MERSA ALAM,/vessels/details/9055175,-,2000,4414,6016,101,18,,-,-,-,-,-,-,-,-,-,2025-07-19
96,ZAHER,/vessels/details/622122260,-,-,-,-,15,27,,-,-,-,-,-,-,-,-,-,2025-07-19
97,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-19
98,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-19
99,RAS EL KHAIMA,/vessels/details/7023958,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-19
100,SHUNLI096,/vessels/details/622442056,-,-,-,-,70,10,,-,-,-,-,-,-,-,-,-,2025-07-19
101,SAKKR 2,/vessels/details/7910606,-,1981,100,20,24,5,,-,-,-,-,-,-,-,-,-,2025-07-19
102,SHOROK 3,/vessels/details/9593608,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-19
103,ELMALEK KHALED,/vessels/details/7010171,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-19
104,NOUR,/vessels/details/6913443,-,1969,110,161,32.82,-,,-,-,-,-,-,-,-,-,-,2025-07-19
105,SHOROK 2,/vessels/details/9593593,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-19
106,SHOROK 4,/vessels/details/9593610,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-19
107,HAI BAO,/vessels/details/622666018,-,-,-,-,180,32,,-,-,-,-,-,-,-,-,-,2025-07-19
108,SUEZ FLOWER,/vessels/details/7012507,-,1970,1179,1727,73,12,,-,-,-,-,-,-,-,-,-,2025-07-19
109,MV ROYAL,/vessels/details/622121120,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-19
110,EL AABED,/vessels/details/7325643,-,1973,1981,3068,80,14,,-,-,-,-,-,-,-,-,-,2025-07-19
