,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,/vessels/details/9291248,Tanker,2006,60007,107160,248,43,,"Jul 22, 03:48 UTC (3 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 24, 06:30",,MERA ELHAMRA,-,-,Moored,2025-07-25
1,ETC RAMSIS,/vessels/details/9260809,Tanker,2003,59574,110673,246,42,,"Jul 20, 01:20 UTC (5 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 20, 04:00",,RAS SADAT,-,-,At anchor,2025-07-25
2,ALEXIA 3,/vessels/details/9173721,-,1999,56841,105570,248,43,,-,-,-,-,-,-,-,-,-,2025-07-25
3,CHRIS,/vessels/details/9304643,Tanker (HAZ-B),2004,49838,105778,239,42,,"Jul 21, 22:04 UTC (3 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 25, 14:00
(in 7 hours)",,AIN SUKHNA/EGY,-,-,-,2025-07-25
4,AL NABILA 6,/vessels/details/9236987,Tanker (HAZ-A),2003,22184,34810,171,27,,"Jul 24, 11:54 UTC (19 hours ago)",Egypt,As Suways (Suez) Anch.,"Jul 24, 15:00",,RAS SADAT/EGY.,-,-,At anchor,2025-07-25
5,NAGDA 2,/vessels/details/8215376,-,1984,2042,3220,88,16,,-,-,-,-,-,-,-,-,-,2025-07-25
6,NAGDA1,/vessels/details/8215364,Other type,1984,2042,3220,87,16,,"Mar 2, 12:01 UTC (145 days ago)",Egypt,Ismailia Anch.,-,,Destination not available,-,-,-,2025-07-25
7,CPC VI,/vessels/details/9758181,Tanker,2015,1581,2397,74,12,,"Jul 12, 10:14 UTC (13 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-25
8,CPC IV,/vessels/details/9919606,Tanker,2021,1129,1681,67,12,,"Jul 2, 09:56 UTC (23 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-25
9,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"Jul 23, 07:47 UTC (2 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-25
10,CPC I,/vessels/details/9620267,Tanker,2012,1049,1601,66,12,,"Jul 21, 18:46 UTC (4 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-25
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (14 days ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 71 days)",,IN-ORDER,-,-,Moored,2025-07-25
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-25
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 21, 09:24 UTC (4 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-25
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-25
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-25
16,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-25
17,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jul 21, 17:25 UTC (4 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,-,2025-07-25
18,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (31 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,-,2025-07-25
19,AL FURAT,/vessels/details/7630983,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-25
20,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-25
21,ALOBOUR,/vessels/details/7728182,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-25
22,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
23,ALEXIA 3,/vessels/details/622120925,Tanker,-,-,-,248,43,,"Jul 20, 00:28 UTC (5 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 25, 17:00
(in 10 hours)",,ZEITBAY EGY,-,-,Under way,2025-07-25
24,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
25,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
26,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-25
27,ALEX STAR,/vessels/details/8999582,-,1999,311,297,37,8,,-,-,-,-,-,-,-,-,-,2025-07-25
28,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-25
29,TANKER NO. 11,/vessels/details/8215388,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-25
30,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-25
31,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-25
32,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-25
33,CIDCO OIL,/vessels/details/9769582,-,2014,434,1000,46,9,,-,-,-,-,-,-,-,-,-,2025-07-25
34,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-25
35,MARYUT,/vessels/details/7630957,-,1976,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-25
36,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (16 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,-,2025-07-25
37,SOHEIR,/vessels/details/6522000,-,1965,905,1583,69,10,,-,-,-,-,-,-,-,-,-,2025-07-25
38,TANKER NO. 230,/vessels/details/7944748,-,1978,300,491,43,8,,-,-,-,-,-,-,-,-,-,2025-07-25
39,SEA STAR PORT SAID,/vessels/details/622108203,-,-,-,-,19,6,,-,-,-,-,-,-,-,-,-,2025-07-25
40,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-25
41,BADR,/vessels/details/7928330,-,1984,260,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-25
42,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
43,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-25
44,ALEXIA 3,/vessels/details/622120925,Tanker,-,-,-,248,43,,"Jul 20, 00:28 UTC (5 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 25, 17:00
(in 10 hours)",,ZEITBAY EGY,-,-,Under way,2025-07-25
45,TIMSAH 3,/vessels/details/7928316,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-25
46,AL BURULLUS,/vessels/details/7631030,-,1983,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-25
47,NISR 2,/vessels/details/7600641,-,1977,1243,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
48,OSIRIS,/vessels/details/7728223,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-25
49,TANKER NO. 13,/vessels/details/8215405,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-25
50,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-25
51,NADA 2,/vessels/details/7720386,-,1978,1003,1345,65,10,,-,-,-,-,-,-,-,-,-,2025-07-25
52,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
53,MISR 3,/vessels/details/9871684,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-25
54,AYEDA 3,/vessels/details/7630969,-,1977,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-25
55,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-25
56,SEA STAR PORT SAID,/vessels/details/622108203,-,-,-,-,19,6,,-,-,-,-,-,-,-,-,-,2025-07-25
57,KONSAB EL ARISH,/vessels/details/622104576,Tanker,-,-,-,36,7,,"May 2, 17:45 UTC (84 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-25
58,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-25
59,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-25
60,UNISHIP I,/vessels/details/5419103,-,1963,217,284,35,8,,-,-,-,-,-,-,-,-,-,2025-07-25
61,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-25
62,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-25
63,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-25
64,CPCV,/vessels/details/9933949,Tanker,2022,1129,1678,66,11,,"Jul 18, 15:09 UTC (7 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Moored,2025-07-25
65,TANKER NO. 11,/vessels/details/8215388,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-25
66,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-25
67,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-25
68,EL ARESH,/vessels/details/7728194,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-25
69,WADI ALMOLOUK,/vessels/details/9897999,Cargo ship,2020,44732,82318,229,32,,"Jul 25, 04:39 UTC (2 hours ago)",Australia,Kwinana Anch.,"Jul 25, 04:42 UTC
ARRIVED",Australia,Kwinana,32.1946S, 115.7255E,Moored,2025-07-25
70,WADI ALARISH,/vessels/details/9952672,-,2024,44560,82234,229,32,,-,-,-,-,-,-,-,-,-,2025-07-25
71,WADI ALMALEKAT,/vessels/details/9763904,Cargo ship,2017,44069,81227,229,32,,"Jul 18, 07:19 UTC (7 days ago)",Singapore,Singapore Anch. 5,"Aug 20, 02:00
(in 26 days)",Singapore,Singapore,1.2788N, 103.7566E,-,2025-07-25
72,WADI ALKARM,/vessels/details/9460760,Cargo ship,2011,43736,80533,229,32,,"Jul 24, 12:33 UTC (18 hours ago)",Romania,Constanta,"Jul 24, 16:13 UTC
ARRIVED",Romania,Constanta,44.0922N, 28.7116E,Moored,2025-07-25
73,WADI SAFAGA,/vessels/details/9460734,Cargo ship,2010,43736,80443,229,32,,"Jul 25, 04:37 UTC (2 hours ago)",Russia,Novorossiysk Anch.,"Aug 6, 01:00
(in 12 days)",Oman,Salalah,16.9565N, 54.0234E,At anchor,2025-07-25
74,WADI TIBA,/vessels/details/9460746,Cargo ship,2011,43736,80469,229,32,,"Jul 11, 07:39 UTC (14 days ago)",Gibraltar,Gibraltar West Anch.,"Jul 22, 10:00",,BARCARENA - BRAZIL,-,-,-,2025-07-25
75,WADI ALYARMOUK,/vessels/details/9460772,Cargo ship,2010,43726,80384,229,32,,"Jul 9, 04:22 UTC (16 days ago)",Italy,Ravenna Anch.,"Jul 9, 05:17 UTC
ARRIVED",Italy,Ravenna,44.4777N, 12.2604E,Moored,2025-07-25
76,EDFU,/vessels/details/9139256,Cargo ship,1997,38464,71572,224,32,,"Jul 18, 22:47 UTC (6 days ago)",Turkey,Nemrut Anch.,"Jul 18, 23:08 UTC
ARRIVED",Turkey,Nemrut,38.7768N, 26.909E,Moored,2025-07-25
77,ESNA,/vessels/details/9139268,-,1998,38464,71598,224,32,,-,-,-,-,-,-,-,-,-,2025-07-25
78,WADI AL KARNAK,/vessels/details/9127136,Cargo ship,1997,37028,70090,225,32,,"Jul 22, 11:09 UTC (3 days ago)",Egypt,Port Said,"Aug 1, 10:00
(in 7 days)",France,Rouen,49.4218N, 1.0599E,Under way,2025-07-25
79,WADI ALARAB,/vessels/details/9107681,Cargo ship,1995,37027,64214,225,32,,"Jul 10, 14:44 UTC (15 days ago)",France,La Pallice,"Jul 21, 15:00",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Moored,2025-07-25
80,WADI ALRAYAN,/vessels/details/9208875,Cargo ship,2000,34750,40301,215,32,,"Jul 25, 06:36 UTC (18 minutes ago)",Iraq,Basrah Oil Terminal Anch.,"Jul 25, 01:00",Iraq,Umm Qasr Port,30.0373N, 47.952E,Under way,2025-07-25
81,WADI FERAN,/vessels/details/9460083,Cargo ship,2011,33234,57282,190,32,,"Jul 16, 07:58 UTC (9 days ago)",Bangladesh,Chattogram Anch.,"Jul 28, 12:00
(in 3 days)",Singapore,Singapore,1.2788N, 103.7566E,-,2025-07-25
82,WADI ALBOSTAN,/vessels/details/9460722,Cargo ship,2011,33234,57320,190,32,,"Jul 5, 19:09 UTC (19 days ago)",Singapore,Singapore Anch. 4,"Jul 16, 00:00",India,Hazira,21.0666N, 72.6159E,-,2025-07-25
83,SAFEEN PRESTIGE,/vessels/details/9593517,Cargo ship,2013,18252,23425,175,27,,"Jul 24, 14:17 UTC (17 hours ago)",Libya,Misurata Anch.,"Jul 24, 14:24 UTC
ARRIVED",Libya,Misurata,32.367N, 15.2328E,Under way,2025-07-25
84,CAPT.KATTELMANN,/vessels/details/9330915,Cargo ship,2006,15995,20305,170,25,,"Jul 25, 05:27 UTC (1 hour ago)",Spain,Barcelona,"Jul 24, 08:00",Spain,Valencia,39.4258N, 0.295W,Moored,2025-07-25
85,EGY CROWN,/vessels/details/9216107,Cargo ship,2000,14241,18425,159,24,,"Jul 7, 11:05 UTC (18 days ago)",Bulgaria,Varna,"Jul 7, 11:20 UTC
ARRIVED",Bulgaria,Varna,43.1902N, 27.939E,-,2025-07-25
86,EGY FUTURE,/vessels/details/9127538,Cargo ship,1998,13977,18425,159,24,,"Mar 7, 01:56 UTC (140 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-25
87,AL HURREYA 2,/vessels/details/9309136,Cargo ship,2007,13529,5904,140,24,,"Jul 24, 23:37 UTC (7 hours ago)",Egypt,Safaga,"Jul 25, 09:00
(in 2 hours)",,NEOM,-,-,Under way,2025-07-25
88,AL HURREYA,/vessels/details/9266487,Cargo ship,2005,13529,5904,140,24,,"Jul 24, 17:09 UTC (14 hours ago)",Egypt,As Suways (Suez) Anch.,"Jul 24, 18:15",Egypt,Suez Canal,30.7657N, 32.3247E,Under way,2025-07-25
89,ELREEDY STAR,/vessels/details/9161182,Cargo ship,1998,13066,20537,153,24,,"Jul 13, 15:22 UTC (12 days ago)",Djibouti,Djibouti,"Jul 31, 01:00
(in 6 days)",United Arab Emirates (UAE),Jebel Ali,25.0247N, 55.0397E,-,2025-07-25
90,PAN GG,/vessels/details/9236286,Cargo ship,2002,10308,12562,149,23,,"Jul 24, 11:28 UTC (19 hours ago)",Egypt,Alexandria,"Jun 25, 18:00",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Moored,2025-07-25
91,EGY SKY,/vessels/details/9366483,Cargo ship (HAZ-A),2007,10308,12720,149,23,,"Jul 24, 18:08 UTC (13 hours ago)",Egypt,Dumyat (Damietta),"Jul 25, 09:00
(in 2 hours)",Egypt,El Dekheila,31.1502N, 29.8059E,Under way,2025-07-25
92,LOTUS,/vessels/details/9193525,Cargo ship,1999,8443,9389,136,20,,"Jul 25, 02:25 UTC (4 hours ago)",Egypt,Port Said East,"Jul 25, 21:00
(in 14 hours)",Cyprus,Limassol,34.6586N, 33.0413E,Under way,2025-07-25
93,BRIDGE,/vessels/details/8708622,Cargo ship,1989,7363,4683,122,20,,"Jul 23, 14:29 UTC (2 days ago)",Sudan,Sawakin Anch.,"Jul 8, 09:45",,JEDDAH<>SAWAKIN,-,-,-,2025-07-25
94,AL SHAYMAA,/vessels/details/7612400,-,1981,5744,8207,128,18,,-,-,-,-,-,-,-,-,-,2025-07-25
95,MERSA ALAM,/vessels/details/9055175,-,2000,4414,6016,101,18,,-,-,-,-,-,-,-,-,-,2025-07-25
96,ELMALEK KHALED,/vessels/details/7010171,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-25
