,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,/vessels/details/9291248,Tanker,2006,60007,107160,248,43,,"Jul 12, 02:22 UTC (6 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 17, 14:00",,WADI FEIRAN EG,-,-,-,2025-07-17
1,ETC RAMSIS,/vessels/details/9260809,Tanker,2003,59574,110673,246,42,,"Jul 17, 05:54 UTC (10 hours ago)",Egypt,As Suways (Suez) Anch.,"Jul 18, 20:00
(in 1 day)",,EGZTB,-,-,Under way,2025-07-17
2,ALEXIA 3,/vessels/details/9173721,-,1999,56841,105570,248,43,,-,-,-,-,-,-,-,-,-,2025-07-17
3,CHRIS,/vessels/details/9304643,Tanker (HAZ-B),2004,49838,105778,239,42,,"Jul 12, 08:24 UTC (5 days ago)",Egypt,As Suways (Suez) Anch.,"Jul 16, 18:00",,AIN SUKHNA/EGY,-,-,-,2025-07-17
4,AL NABILA 6,/vessels/details/9236987,Tanker (HAZ-A),2003,22184,34810,171,27,,"Jul 17, 13:03 UTC (3 hours ago)",Egypt,Alexandria,"Jul 11, 05:00",,ALEXADRIA/EGY,-,-,Under way,2025-07-17
5,NAGDA1,/vessels/details/8215364,Other type,1984,2042,3220,87,16,,"Mar 2, 12:01 UTC (137 days ago)",Egypt,Ismailia Anch.,-,,Destination not available,-,-,-,2025-07-17
6,NAGDA 2,/vessels/details/8215376,-,1984,2042,3220,88,16,,-,-,-,-,-,-,-,-,-,2025-07-17
7,CPC VI,/vessels/details/9758181,Tanker,2015,1581,2397,74,12,,"Jul 12, 10:14 UTC (5 days ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,-,2025-07-17
8,CPC IV,/vessels/details/9919606,Tanker,2021,1129,1681,67,12,,"Jul 2, 09:56 UTC (15 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-17
9,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"Jul 15, 14:50 UTC (2 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-17
10,CPC I,/vessels/details/9620267,Tanker,2012,1049,1601,66,12,,"Jul 14, 15:53 UTC (3 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-17
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (6 days ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 78 days)",,IN-ORDER,-,-,Moored,2025-07-17
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-17
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 16, 13:47 UTC (1 day ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-17
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-17
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-17
16,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (24 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-17
17,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-17
18,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jun 23, 01:41 UTC (25 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-17
19,AYEDA 3,/vessels/details/7630969,-,1977,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-17
20,TAAWON 14,/vessels/details/8316742,-,1984,643,975,60,10,,-,-,-,-,-,-,-,-,-,2025-07-17
21,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-17
22,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-17
23,AL BURULLUS,/vessels/details/7631030,-,1983,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-17
24,CIDCO OIL,/vessels/details/9769582,-,2014,434,1000,46,9,,-,-,-,-,-,-,-,-,-,2025-07-17
25,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-17
26,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-17
27,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-17
28,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-17
29,TAAWON 3,/vessels/details/5348093,-,1960,392,500,53,8,,-,-,-,-,-,-,-,-,-,2025-07-17
30,EL ARESH,/vessels/details/7728194,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-17
31,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (22 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-17
32,SEA STAR PORT SAID,/vessels/details/622108203,-,-,-,-,19,6,,-,-,-,-,-,-,-,-,-,2025-07-17
33,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-17
34,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (8 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,-,2025-07-17
35,TANKER NO. 13,/vessels/details/8215405,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-17
36,TANKER 231,/vessels/details/7928548,-,1986,300,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-17
37,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-17
38,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-17
39,AL FURAT,/vessels/details/7630983,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-17
40,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-17
41,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-17
42,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-17
43,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-17
44,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-17
