,name,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
31,MERSA ALAM,-,2000,4414,,100.60,17.80,,-,-,-,-,-,-,-,-,-,2025-07-07
32,RAS EL KHAIMA,-,1970,499,,76.41,13.42,,-,-,-,-,-,-,-,-,-,2025-07-07
33,SHOROK 4,-,2012,200,,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-07
34,ELMALEK KHALED,-,1970,499,,76.38,13.42,,-,-,-,-,-,-,-,-,-,2025-07-07
35,AL HURREYA 3,-,2024,20437,,174.00,26.00,,-,-,-,-,-,-,-,-,-,2025-07-07
36,SHOROK 1,-,2012,200,,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-07
37,SHOROK 3,-,2012,200,,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-07
38,SAKKR 2,-,1981,100,,24.36,4.70,,-,-,-,-,-,-,-,-,-,2025-07-07
39,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-07
40,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-07
41,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-07
42,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-07
43,EL AABED,-,1973,1981,,79.91,14.33,,-,-,-,-,-,-,-,-,-,2025-07-07
44,SHOROK 2,-,2012,200,,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-07
45,NOUR,-,1969,110,,32.82,-,,-,-,-,-,-,-,-,-,-,2025-07-07
46,SUEZ FLOWER,-,1970,1179,,72.70,11.54,,-,-,-,-,-,-,-,-,-,2025-07-07
