,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
78,WADI AL KARNAK,/vessels/details/9127136,Cargo ship,1997,37028,70090,225,32,,"Jul 3, 19:17 UTC (10 days ago)",France,La Pallice,"Jul 14, 16:00
(in 22 hours)",Egypt,Port Said,31.2644N, 32.3346E,Under way,2025-07-13
79,WADI ALARAB,/vessels/details/9107681,Cargo ship,1995,37027,64214,225,32,,"Jul 10, 14:44 UTC (3 days ago)",France,La Pallice,"Jul 21, 06:00
(in 7 days)",Egypt,Alexandria,31.166N, 29.8385E,Under way,2025-07-13
80,WADI ALRAYAN,/vessels/details/9208875,Cargo ship,2000,34750,40301,215,32,,"Jul 10, 02:11 UTC (4 days ago)",Saudi Arabia,Jeddah,"Jul 17, 04:00
(in 3 days)",United Arab Emirates (UAE),Khalifa,24.8324N, 54.644E,-,2025-07-13
81,WADI FERAN,/vessels/details/9460083,Cargo ship,2011,33234,57282,190,32,,"Jul 11, 05:48 UTC (3 days ago)",Bangladesh,Chattogram Anch.,"Jul 11, 05:51 UTC
ARRIVED",Bangladesh,Chattogram Anch.,22.21N, 91.8E,At anchor,2025-07-13
82,WADI ALBOSTAN,/vessels/details/9460722,Cargo ship,2011,33234,57320,190,32,,"Jul 5, 19:09 UTC (8 days ago)",Singapore,Singapore Anch. 4,"Jul 15, 10:00
(in 2 days)",India,Hazira,21.0666N, 72.6159E,-,2025-07-13
83,SAFEEN PRESTIGE,/vessels/details/9593517,Cargo ship,2013,18252,23425,175,27,,"Jul 12, 14:42 UTC (1 day ago)",Libya,Misurata Anch.,"Jul 12, 14:48 UTC
ARRIVED",Libya,Misurata,32.367N, 15.2328E,Moored,2025-07-13
84,CAPT.KATTELMANN,/vessels/details/9330915,Cargo ship,2006,15995,20305,170,25,,"Jul 13, 17:30 UTC (34 minutes ago)",Egypt,Dumyat (Damietta),"Jul 12, 20:00",Turkey,Aliaga,38.8435N, 26.9501E,Under way,2025-07-13
85,EGY CROWN,/vessels/details/9216107,Cargo ship,2000,14241,18425,159,24,,"Jul 7, 11:05 UTC (6 days ago)",Bulgaria,Varna,"Jul 7, 11:20 UTC
ARRIVED",Bulgaria,Varna,43.1902N, 27.939E,Moored,2025-07-13
86,EGY FUTURE,/vessels/details/9127538,Cargo ship,1998,13977,18425,159,24,,"Mar 7, 01:56 UTC (129 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-13
87,AL HURREYA,/vessels/details/9266487,Cargo ship,2005,13529,5904,140,24,,"Jul 8, 08:38 UTC (5 days ago)",Egypt,Safaga,"Jul 7, 13:00",,SUEZ-SAFAGA,-,-,Moored,2025-07-13
88,AL HURREYA 2,/vessels/details/9309136,Cargo ship,2007,13529,5904,140,24,,"Jul 12, 19:58 UTC (22 hours ago)",Saudi Arabia,Duuba,"Jul 13, 06:44 UTC
ARRIVED",Egypt,Safaga,26.7429N, 33.9501E,Moored,2025-07-13
89,ELREEDY STAR,/vessels/details/9161182,Cargo ship,1998,13066,20537,153,24,,"Jul 13, 15:22 UTC (3 hours ago)",Djibouti,Djibouti,"Jul 14, 03:00
(in 9 hours)",Yemen,Aden,12.7735N, 44.9496E,Under way,2025-07-13
90,EGY SKY,/vessels/details/9366483,Cargo ship (HAZ-A),2007,10308,12720,149,23,,"Jul 13, 04:15 UTC (14 hours ago)",Egypt,Alexandria,"Jul 13, 20:00
(in 2 hours)",,EGPSE,-,-,Under way,2025-07-13
91,PAN GG,/vessels/details/9236286,Cargo ship,2002,10308,12562,149,23,,"Jul 13, 05:54 UTC (12 hours ago)",Egypt,Alexandria,-,,Destination not available,-,-,Moored,2025-07-13
92,LOTUS,/vessels/details/9193525,Cargo ship,1999,8443,9389,136,20,,"Jul 13, 13:03 UTC (5 hours ago)",Turkey,Antalya,"Jul 14, 20:00
(in 1 day)",Egypt,El Dekheila,31.1502N, 29.8059E,Under way,2025-07-13
93,BRIDGE,/vessels/details/8708622,Cargo ship,1989,7363,4683,122,20,,"Jul 13, 05:56 UTC (12 hours ago)",Saudi Arabia,Jeddah Anchorage,"Jul 8, 09:45",,JEDDAH<>SAWAKIN,-,-,At anchor,2025-07-13
94,AL SHAYMAA,/vessels/details/7612400,-,1981,5744,8207,128,18,,-,-,-,-,-,-,-,-,-,2025-07-13
95,MERSA ALAM,/vessels/details/9055175,-,2000,4414,6016,101,18,,-,-,-,-,-,-,-,-,-,2025-07-13
96,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-13
97,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-13
98,SAKKR 2,/vessels/details/7910606,-,1981,100,20,24,5,,-,-,-,-,-,-,-,-,-,2025-07-13
