,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
0,ATHINEA,/vessels/details/9291248,Tanker,2006,60007,107160,248,43,,"Jul 12, 02:22 UTC (12 hours ago)",Egypt,As Suways (Suez) Anch.,"Jul 12, 04:00",,RAS SADAT EG,-,-,At anchor,2025-07-12
1,ETC RAMSIS,/vessels/details/9260809,Tanker,2003,59574,110673,246,42,,"Jul 12, 00:58 UTC (14 hours ago)",Egypt,Ain Sukhna Anch.,"Jul 12, 01:29 UTC
ARRIVED",Egypt,Ain Sukhna Oil Field Term.,29.5799N, 32.3886E,Moored,2025-07-12
2,ALEXIA 3,/vessels/details/9173721,-,1999,56841,105570,248,43,,-,-,-,-,-,-,-,-,-,2025-07-12
3,CHRIS,/vessels/details/9304643,Tanker (HAZ-A),2004,49838,105778,239,42,,"Jul 12, 08:24 UTC (6 hours ago)",Egypt,As Suways (Suez) Anch.,"Dec 7, 12:00
(in 148 days)",,ZAFARANA_EGY,-,-,Under way,2025-07-12
4,AL NABILA 6,/vessels/details/9236987,Tanker (HAZ-A),2003,22184,34810,171,27,,"Jul 11, 03:45 UTC (1 day ago)",Egypt,Alexandria Anch.,"Jul 11, 05:00",,ALEXADRIA/EGY,-,-,At anchor,2025-07-12
5,NAGDA 2,/vessels/details/8215376,-,1984,2042,3220,88,16,,-,-,-,-,-,-,-,-,-,2025-07-12
6,NAGDA1,/vessels/details/8215364,Other type,1984,2042,3220,87,16,,"Mar 2, 12:01 UTC (132 days ago)",Egypt,Ismailia Anch.,-,,Destination not available,-,-,-,2025-07-12
7,CPC VI,/vessels/details/9758181,Tanker,2015,1581,2397,74,12,,"Jul 12, 10:14 UTC (4 hours ago)",Egypt,Port Tewfik,-,,Destination not available,-,-,Under way,2025-07-12
8,CPC IV,/vessels/details/9919606,Tanker,2021,1129,1681,67,12,,"Jul 2, 09:56 UTC (10 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-12
9,CPC I,/vessels/details/9620267,Tanker,2012,1049,1601,66,12,,"Jul 11, 11:00 UTC (1 day ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-12
10,CPC II,/vessels/details/9659907,Tanker,2012,1049,1601,66,12,,"May 24, 14:21 UTC (49 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-12
11,MISR 1,/vessels/details/9763368,Tanker,2015,1021,1754,68,11,,"Jul 11, 10:41 UTC (1 day ago)",Egypt,Port Tewfik,"Oct 3, 20:59
(in 83 days)",,IN-ORDER,-,-,Moored,2025-07-12
12,NISR 3,/vessels/details/7821233,-,1980,687,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-12
13,EMDAD 1,/vessels/details/9672076,Tanker,2019,500,900,48,9,,"Jul 8, 22:06 UTC (4 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-12
14,CPCIII,/vessels/details/9653355,-,2013,499,810,50,10,,-,-,-,-,-,-,-,-,-,2025-07-12
15,HEBAT ALLAH 1,/vessels/details/8518132,-,1985,494,700,45,8,,-,-,-,-,-,-,-,-,-,2025-07-12
16,GIGI,/vessels/details/622123102,-,-,-,-,39,6,,-,-,-,-,-,-,-,-,-,2025-07-12
17,MISR 3,/vessels/details/622123411,Tanker,-,-,-,68,11,,"Jun 23, 01:41 UTC (20 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-12
18,MISR 2,/vessels/details/622123410,Tanker,-,-,-,68,11,,"Jun 23, 20:39 UTC (19 days ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Under way,2025-07-12
19,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (3 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,-,2025-07-12
20,EL BERNS AHMED,/vessels/details/7435242,-,1980,200,350,39,7,,-,-,-,-,-,-,-,-,-,2025-07-12
21,SUEZ 1,/vessels/details/9036492,-,1994,200,120,33,7,,-,-,-,-,-,-,-,-,-,2025-07-12
22,ALEX STAR,/vessels/details/8999582,-,1999,311,297,37,8,,-,-,-,-,-,-,-,-,-,2025-07-12
23,MARYUT,/vessels/details/7630957,-,1976,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-12
24,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-12
25,TAAWON 3,/vessels/details/5348093,-,1960,392,500,53,8,,-,-,-,-,-,-,-,-,-,2025-07-12
26,AKDU,/vessels/details/7631028,-,1979,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-12
27,FEKRY,/vessels/details/7928328,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-12
28,SOHEIR,/vessels/details/6522000,-,1965,905,1583,69,10,,-,-,-,-,-,-,-,-,-,2025-07-12
29,NOUR 1,/vessels/details/622102400,Tanker,-,-,-,43,9,,"Jun 25, 15:12 UTC (17 days ago)",Egypt,Port Said,-,,Destination not available,-,-,-,2025-07-12
30,ALOBOUR,/vessels/details/7728182,-,1979,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-12
31,CIDCO OIL,/vessels/details/9769582,-,2014,434,1000,46,9,,-,-,-,-,-,-,-,-,-,2025-07-12
32,NISR 4,/vessels/details/7821245,-,1980,678,965,57,10,,-,-,-,-,-,-,-,-,-,2025-07-12
33,AL FURAT,/vessels/details/7630983,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-12
34,AL SADAT,/vessels/details/7728209,-,1979,170,300,37,8,,-,-,-,-,-,-,-,-,-,2025-07-12
35,CPCV,/vessels/details/9933949,Tanker,2022,1129,1678,66,11,,"Jul 11, 15:58 UTC (23 hours ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Moored,2025-07-12
36,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-12
37,TAAWON 15,/vessels/details/8611934,-,1990,148,120,33,6,,-,-,-,-,-,-,-,-,-,2025-07-12
38,TAAWON 8,/vessels/details/7600627,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-12
39,AYEDA 3,/vessels/details/7630969,-,1977,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-12
40,REDA MEN ALLAH,/vessels/details/622104701,Tanker,-,-,-,26,6,,"Jul 9, 12:11 UTC (3 days ago)",Egypt,Port Said Anch.,-,,Destination not available,-,-,-,2025-07-12
41,TANKER NO. 13,/vessels/details/8215405,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-12
42,TAAWON 4,/vessels/details/5348108,-,1959,391,500,53,9,,-,-,-,-,-,-,-,-,-,2025-07-12
43,AL SALAM,/vessels/details/7728170,-,1978,170,300,36,7,,-,-,-,-,-,-,-,-,-,2025-07-12
44,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-12
45,MISR 2,/vessels/details/9871672,-,2019,998,1750,68,11,,-,-,-,-,-,-,-,-,-,2025-07-12
46,CPCV,/vessels/details/9933949,Tanker,2022,1129,1678,66,11,,"Jul 11, 15:58 UTC (23 hours ago)",Egypt,As Suways / Suez Port,-,,Destination not available,-,-,Moored,2025-07-12
47,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-12
48,HEFILA,/vessels/details/8659053,-,2012,192,370,33,6,,-,-,-,-,-,-,-,-,-,2025-07-12
49,AKDU,/vessels/details/7631028,-,1979,380,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-12
50,NISR 2,/vessels/details/7600641,-,1977,1243,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-12
